description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Team BikeExchange-Jayco is Australia's first a men and women's UCI WorldTour cycling team, with the 2022 season marking GreenEDGE Cycling's second decade at the highest level of the sport. This workout, designed by Team BikeExchange-Jayco coaches is a blend of Endurance, Tempo and Threshold intervals. The main set starts with 3 x 4 min at 75% of FTP with 60 seconds rest. Followed by 2 x 5 min blocks broken up as 2min and 3min efforts. The 1st round is 2min at 80% of FTP and 3min at 90% of FTP. The 2nd round is 2min at 90% of FTP and 3min at 80% of FTP. Finally to finish the workout you have 3 x 40 seconds ON at 100% of FTP and 20 seconds OFF at 50% of FTP. Bring a fresh pair of legs, this workout will surely elevate your fitness.",1,300,50,60,%,,,,,,
,1,300,60,90,%,,,,,,
,1,60,55,55,%,,,,,,
,3,240,75,75,%,90,60,50,50,%,90
,1,120,80,80,%,90,180,90,90,%,90
,1,120,50,50,%,,,,,,
,1,120,90,90,%,90,180,80,80,%,90
,1,120,50,50,%,,,,,,
,3,40,100,100,%,100,20,50,50,%,100
,1,180,65,50,%,,,,,,
